Start_Timestamp,End_Timestamp,Prime,Bit_Length_Prime,2i+1,Bit_Length_2i+1
2025-04-10 00:10:45,2025-04-10 00:10:45,1973,11,3947,12
2025-04-10 00:10:45,2025-04-10 00:10:45,2003,11,4007,12
2025-04-10 00:10:45,2025-04-10 00:10:45,2039,11,4079,12
2025-04-10 00:10:45,2025-04-10 00:10:45,2063,12,4127,13
2025-04-10 00:10:45,2025-04-10 00:10:46,2069,12,4139,13
2025-04-10 00:10:46,2025-04-10 00:10:46,2129,12,4259,13
2025-04-10 00:10:46,2025-04-10 00:10:46,2141,12,4283,13
2025-04-10 00:10:47,2025-04-10 00:10:47,2273,12,4547,13
2025-04-10 00:10:48,2025-04-10 00:10:48,2339,12,4679,13
2025-04-10 00:10:48,2025-04-10 00:10:48,2351,12,4703,13
2025-04-10 00:10:48,2025-04-10 00:10:48,2393,12,4787,13
2025-04-10 00:10:48,2025-04-10 00:10:49,2399,12,4799,13
2025-04-10 00:10:49,2025-04-10 00:10:49,2459,12,4919,13
2025-04-10 00:10:49,2025-04-10 00:10:50,2543,12,5087,13
2025-04-10 00:10:50,2025-04-10 00:10:50,2549,12,5099,13
2025-04-10 00:10:51,2025-04-10 00:10:51,2693,12,5387,13
2025-04-10 00:10:51,2025-04-10 00:10:51,2699,12,5399,13
2025-04-10 00:10:51,2025-04-10 00:10:52,2741,12,5483,13
2025-04-10 00:10:52,2025-04-10 00:10:52,2753,12,5507,13
2025-04-10 00:10:52,2025-04-10 00:10:52,2819,12,5639,13
2025-04-10 00:10:53,2025-04-10 00:10:53,2903,12,5807,13
2025-04-10 00:10:53,2025-04-10 00:10:54,2939,12,5879,13
2025-04-10 00:10:54,2025-04-10 00:10:54,2963,12,5927,13
2025-04-10 00:10:54,2025-04-10 00:10:54,2969,12,5939,13
2025-04-10 00:10:54,2025-04-10 00:10:54,3023,12,6047,13
2025-04-10 00:10:56,2025-04-10 00:10:56,3299,12,6599,13
2025-04-10 00:10:57,2025-04-10 00:10:57,3329,12,6659,13
2025-04-10 00:10:57,2025-04-10 00:10:57,3359,12,6719,13
2025-04-10 00:10:57,2025-04-10 00:10:57,3389,12,6779,13
2025-04-10 00:10:58,2025-04-10 00:10:58,3413,12,6827,13
2025-04-10 00:10:58,2025-04-10 00:10:58,3449,12,6899,13
2025-04-10 00:10:58,2025-04-10 00:10:58,3491,12,6983,13
2025-04-10 00:10:59,2025-04-10 00:10:59,3539,12,7079,13
2025-04-10 00:10:59,2025-04-10 00:11:00,3593,12,7187,13
2025-04-10 00:11:00,2025-04-10 00:11:00,3623,12,7247,13
2025-04-10 00:11:01,2025-04-10 00:11:01,3761,12,7523,13
2025-04-10 00:11:01,2025-04-10 00:11:01,3779,12,7559,13
2025-04-10 00:11:01,2025-04-10 00:11:02,3803,12,7607,13
2025-04-10 00:11:02,2025-04-10 00:11:02,3821,12,7643,13
2025-04-10 00:11:02,2025-04-10 00:11:02,3851,12,7703,13
2025-04-10 00:11:02,2025-04-10 00:11:02,3863,12,7727,13
2025-04-10 00:11:03,2025-04-10 00:11:03,3911,12,7823,13
2025-04-10 00:11:04,2025-04-10 00:11:04,4019,12,8039,13
2025-04-10 00:11:04,2025-04-10 00:11:04,4073,12,8147,13
2025-04-10 00:11:05,2025-04-10 00:11:06,4211,13,8423,14
2025-04-10 00:11:06,2025-04-10 00:11:07,4271,13,8543,14
2025-04-10 00:11:07,2025-04-10 00:11:07,4349,13,8699,14
2025-04-10 00:11:07,2025-04-10 00:11:08,4373,13,8747,14
2025-04-10 00:11:08,2025-04-10 00:11:08,4391,13,8783,14
2025-04-10 00:11:08,2025-04-10 00:11:08,4409,13,8819,14
2025-04-10 00:11:09,2025-04-10 00:11:09,4481,13,8963,14
2025-04-10 00:11:11,2025-04-10 00:11:12,4733,13,9467,14
2025-04-10 00:11:12,2025-04-10 00:11:12,4793,13,9587,14
2025-04-10 00:11:13,2025-04-10 00:11:13,4871,13,9743,14
2025-04-10 00:11:13,2025-04-10 00:11:14,4919,13,9839,14
2025-04-10 00:11:14,2025-04-10 00:11:14,4943,13,9887,14
2025-04-10 00:11:15,2025-04-10 00:11:15,5003,13,10007,14
2025-04-10 00:11:15,2025-04-10 00:11:16,5039,13,10079,14
2025-04-10 00:11:16,2025-04-10 00:11:16,5051,13,10103,14
2025-04-10 00:11:16,2025-04-10 00:11:16,5081,13,10163,14
2025-04-10 00:11:17,2025-04-10 00:11:17,5171,13,10343,14
2025-04-10 00:11:18,2025-04-10 00:11:18,5231,13,10463,14
2025-04-10 00:11:18,2025-04-10 00:11:19,5279,13,10559,14
2025-04-10 00:11:19,2025-04-10 00:11:19,5303,13,10607,14
2025-04-10 00:11:19,2025-04-10 00:11:19,5333,13,10667,14
2025-04-10 00:11:20,2025-04-10 00:11:20,5399,13,10799,14
2025-04-10 00:11:21,2025-04-10 00:11:21,5441,13,10883,14
2025-04-10 00:11:21,2025-04-10 00:11:22,5501,13,11003,14
2025-04-10 00:11:23,2025-04-10 00:11:23,5639,13,11279,14
2025-04-10 00:11:24,2025-04-10 00:11:24,5711,13,11423,14
2025-04-10 00:11:25,2025-04-10 00:11:25,5741,13,11483,14
2025-04-10 00:11:26,2025-04-10 00:11:26,5849,13,11699,14
2025-04-10 00:11:27,2025-04-10 00:11:27,5903,13,11807,14
2025-04-10 00:11:28,2025-04-10 00:11:29,6053,13,12107,14
2025-04-10 00:11:29,2025-04-10 00:11:29,6101,13,12203,14
2025-04-10 00:11:29,2025-04-10 00:11:30,6113,13,12227,14
2025-04-10 00:11:30,2025-04-10 00:11:30,6131,13,12263,14
2025-04-10 00:11:30,2025-04-10 00:11:31,6173,13,12347,14
2025-04-10 00:11:31,2025-04-10 00:11:32,6263,13,12527,14
2025-04-10 00:11:32,2025-04-10 00:11:32,6269,13,12539,14
2025-04-10 00:11:33,2025-04-10 00:11:33,6323,13,12647,14
2025-04-10 00:11:33,2025-04-10 00:11:33,6329,13,12659,14
2025-04-10 00:11:34,2025-04-10 00:11:34,6449,13,12899,14
2025-04-10 00:11:35,2025-04-10 00:11:35,6491,13,12983,14
2025-04-10 00:11:35,2025-04-10 00:11:35,6521,13,13043,14
2025-04-10 00:11:35,2025-04-10 00:11:36,6551,13,13103,14
2025-04-10 00:11:36,2025-04-10 00:11:36,6563,13,13127,14
2025-04-10 00:11:36,2025-04-10 00:11:36,6581,13,13163,14
2025-04-10 00:11:38,2025-04-10 00:11:38,6761,13,13523,14
2025-04-10 00:11:40,2025-04-10 00:11:40,6899,13,13799,14
2025-04-10 00:11:41,2025-04-10 00:11:41,6983,13,13967,14
2025-04-10 00:11:42,2025-04-10 00:11:42,7043,13,14087,14
2025-04-10 00:11:42,2025-04-10 00:11:43,7079,13,14159,14
2025-04-10 00:11:43,2025-04-10 00:11:43,7103,13,14207,14
2025-04-10 00:11:43,2025-04-10 00:11:43,7121,13,14243,14
2025-04-10 00:11:43,2025-04-10 00:11:44,7151,13,14303,14
2025-04-10 00:11:44,2025-04-10 00:11:44,7193,13,14387,14
2025-04-10 00:11:44,2025-04-10 00:11:44,7211,13,14423,14
2025-04-10 00:11:46,2025-04-10 00:11:46,7349,13,14699,14
2025-04-10 00:11:47,2025-04-10 00:11:47,7433,13,14867,14
2025-04-10 00:11:48,2025-04-10 00:11:48,7541,13,15083,14
2025-04-10 00:11:50,2025-04-10 00:11:50,7643,13,15287,14
2025-04-10 00:11:50,2025-04-10 00:11:50,7649,13,15299,14
2025-04-10 00:11:50,2025-04-10 00:11:51,7691,13,15383,14
2025-04-10 00:11:52,2025-04-10 00:11:52,7823,13,15647,14
2025-04-10 00:11:52,2025-04-10 00:11:52,7841,13,15683,14
2025-04-10 00:11:53,2025-04-10 00:11:53,7883,13,15767,14
2025-04-10 00:11:53,2025-04-10 00:11:53,7901,13,15803,14
2025-04-10 00:11:55,2025-04-10 00:11:55,8069,13,16139,14
2025-04-10 00:11:55,2025-04-10 00:11:56,8093,13,16187,14
2025-04-10 00:11:56,2025-04-10 00:11:56,8111,13,16223,14
2025-04-10 00:11:58,2025-04-10 00:11:58,8243,14,16487,15
2025-04-10 00:11:58,2025-04-10 00:11:58,8273,14,16547,15
2025-04-10 00:12:01,2025-04-10 00:12:02,8513,14,17027,15
2025-04-10 00:12:04,2025-04-10 00:12:04,8663,14,17327,15
2025-04-10 00:12:05,2025-04-10 00:12:05,8693,14,17387,15
2025-04-10 00:12:06,2025-04-10 00:12:06,8741,14,17483,15
2025-04-10 00:12:09,2025-04-10 00:12:09,8951,14,17903,15
2025-04-10 00:12:10,2025-04-10 00:12:10,8969,14,17939,15
2025-04-10 00:12:11,2025-04-10 00:12:11,9029,14,18059,15
2025-04-10 00:12:11,2025-04-10 00:12:12,9059,14,18119,15
2025-04-10 00:12:14,2025-04-10 00:12:14,9221,14,18443,15
2025-04-10 00:12:15,2025-04-10 00:12:15,9293,14,18587,15
2025-04-10 00:12:16,2025-04-10 00:12:17,9371,14,18743,15
2025-04-10 00:12:17,2025-04-10 00:12:18,9419,14,18839,15
2025-04-10 00:12:19,2025-04-10 00:12:19,9473,14,18947,15
2025-04-10 00:12:19,2025-04-10 00:12:19,9479,14,18959,15
2025-04-10 00:12:20,2025-04-10 00:12:20,9539,14,19079,15
2025-04-10 00:12:21,2025-04-10 00:12:21,9629,14,19259,15
2025-04-10 00:12:22,2025-04-10 00:12:23,9689,14,19379,15
2025-04-10 00:12:24,2025-04-10 00:12:24,9791,14,19583,15
2025-04-10 00:12:28,2025-04-10 00:12:28,10061,14,20123,15
2025-04-10 00:12:28,2025-04-10 00:12:29,10091,14,20183,15
2025-04-10 00:12:30,2025-04-10 00:12:30,10163,14,20327,15
2025-04-10 00:12:31,2025-04-10 00:12:32,10253,14,20507,15
2025-04-10 00:12:32,2025-04-10 00:12:32,10271,14,20543,15
2025-04-10 00:12:33,2025-04-10 00:12:33,10313,14,20627,15
2025-04-10 00:12:33,2025-04-10 00:12:34,10331,14,20663,15
2025-04-10 00:12:36,2025-04-10 00:12:37,10529,14,21059,15
2025-04-10 00:12:37,2025-04-10 00:12:37,10589,14,21179,15
2025-04-10 00:12:38,2025-04-10 00:12:38,10613,14,21227,15
2025-04-10 00:12:39,2025-04-10 00:12:40,10691,14,21383,15
2025-04-10 00:12:40,2025-04-10 00:12:40,10709,14,21419,15
2025-04-10 00:12:40,2025-04-10 00:12:41,10733,14,21467,15
2025-04-10 00:12:41,2025-04-10 00:12:41,10781,14,21563,15
2025-04-10 00:12:41,2025-04-10 00:12:42,10799,14,21599,15
2025-04-10 00:12:43,2025-04-10 00:12:43,10883,14,21767,15
2025-04-10 00:12:47,2025-04-10 00:12:48,11171,14,22343,15
2025-04-10 00:12:50,2025-04-10 00:12:50,11321,14,22643,15
2025-04-10 00:12:50,2025-04-10 00:12:51,11369,14,22739,15
2025-04-10 00:12:51,2025-04-10 00:12:51,11393,14,22787,15
2025-04-10 00:12:52,2025-04-10 00:12:53,11471,14,22943,15
2025-04-10 00:12:54,2025-04-10 00:12:54,11519,14,23039,15
2025-04-10 00:12:54,2025-04-10 00:12:54,11549,14,23099,15
2025-04-10 00:12:55,2025-04-10 00:12:55,11579,14,23159,15
2025-04-10 00:12:56,2025-04-10 00:12:57,11699,14,23399,15
2025-04-10 00:12:58,2025-04-10 00:12:58,11783,14,23567,15
2025-04-10 00:12:58,2025-04-10 00:12:58,11801,14,23603,15
2025-04-10 00:12:59,2025-04-10 00:12:59,11813,14,23627,15
2025-04-10 00:12:59,2025-04-10 00:13:00,11831,14,23663,15
2025-04-10 00:13:01,2025-04-10 00:13:01,11909,14,23819,15
2025-04-10 00:13:01,2025-04-10 00:13:02,11939,14,23879,15
2025-04-10 00:13:03,2025-04-10 00:13:03,12011,14,24023,15
2025-04-10 00:13:03,2025-04-10 00:13:04,12041,14,24083,15
2025-04-10 00:13:04,2025-04-10 00:13:05,12101,14,24203,15
2025-04-10 00:13:05,2025-04-10 00:13:05,12119,14,24239,15
2025-04-10 00:13:06,2025-04-10 00:13:07,12203,14,24407,15
2025-04-10 00:13:08,2025-04-10 00:13:08,12263,14,24527,15
2025-04-10 00:13:09,2025-04-10 00:13:09,12329,14,24659,15
2025-04-10 00:13:15,2025-04-10 00:13:15,12653,14,25307,15
2025-04-10 00:13:15,2025-04-10 00:13:15,12671,14,25343,15
2025-04-10 00:13:17,2025-04-10 00:13:17,12791,14,25583,15
2025-04-10 00:13:18,2025-04-10 00:13:18,12821,14,25643,15
2025-04-10 00:13:19,2025-04-10 00:13:19,12899,14,25799,15
2025-04-10 00:13:20,2025-04-10 00:13:20,12923,14,25847,15
2025-04-10 00:13:20,2025-04-10 00:13:21,12959,14,25919,15
2025-04-10 00:13:21,2025-04-10 00:13:22,13001,14,26003,15
2025-04-10 00:13:22,2025-04-10 00:13:23,13049,14,26099,15
2025-04-10 00:13:25,2025-04-10 00:13:26,13229,14,26459,15
2025-04-10 00:13:27,2025-04-10 00:13:27,13313,14,26627,15
2025-04-10 00:13:29,2025-04-10 00:13:29,13451,14,26903,15
2025-04-10 00:13:29,2025-04-10 00:13:29,13463,14,26927,15
2025-04-10 00:13:31,2025-04-10 00:13:31,13553,14,27107,15
2025-04-10 00:13:32,2025-04-10 00:13:32,13619,14,27239,15
2025-04-10 00:13:32,2025-04-10 00:13:33,13649,14,27299,15
2025-04-10 00:13:35,2025-04-10 00:13:35,13763,14,27527,15
2025-04-10 00:13:37,2025-04-10 00:13:37,13883,14,27767,15
2025-04-10 00:13:37,2025-04-10 00:13:37,13901,14,27803,15
2025-04-10 00:13:38,2025-04-10 00:13:38,13913,14,27827,15
2025-04-10 00:13:39,2025-04-10 00:13:39,14009,14,28019,15
2025-04-10 00:13:40,2025-04-10 00:13:41,14081,14,28163,15
2025-04-10 00:13:41,2025-04-10 00:13:42,14153,14,28307,15
2025-04-10 00:13:42,2025-04-10 00:13:42,14159,14,28319,15
2025-04-10 00:13:43,2025-04-10 00:13:43,14249,14,28499,15
2025-04-10 00:13:44,2025-04-10 00:13:44,14303,14,28607,15
2025-04-10 00:13:44,2025-04-10 00:13:44,14321,14,28643,15
2025-04-10 00:13:47,2025-04-10 00:13:47,14489,14,28979,15
2025-04-10 00:13:49,2025-04-10 00:13:49,14561,14,29123,15
2025-04-10 00:13:49,2025-04-10 00:13:50,14621,14,29243,15
2025-04-10 00:13:51,2025-04-10 00:13:51,14669,14,29339,15
2025-04-10 00:13:51,2025-04-10 00:13:51,14699,14,29399,15
2025-04-10 00:13:52,2025-04-10 00:13:52,14741,14,29483,15
2025-04-10 00:13:53,2025-04-10 00:13:54,14783,14,29567,15
2025-04-10 00:13:54,2025-04-10 00:13:55,14831,14,29663,15
2025-04-10 00:13:55,2025-04-10 00:13:56,14879,14,29759,15
2025-04-10 00:13:56,2025-04-10 00:13:57,14939,14,29879,15
2025-04-10 00:13:59,2025-04-10 00:13:59,15101,14,30203,15
2025-04-10 00:14:00,2025-04-10 00:14:00,15161,14,30323,15
2025-04-10 00:14:00,2025-04-10 00:14:01,15173,14,30347,15
2025-04-10 00:14:01,2025-04-10 00:14:02,15233,14,30467,15
2025-04-10 00:14:02,2025-04-10 00:14:03,15269,14,30539,15
2025-04-10 00:14:05,2025-04-10 00:14:05,15401,14,30803,15
2025-04-10 00:14:08,2025-04-10 00:14:08,15569,14,31139,15
2025-04-10 00:14:09,2025-04-10 00:14:09,15629,14,31259,15
2025-04-10 00:14:12,2025-04-10 00:14:12,15773,14,31547,15
2025-04-10 00:14:12,2025-04-10 00:14:13,15791,14,31583,15
2025-04-10 00:14:13,2025-04-10 00:14:13,15803,14,31607,15
2025-04-10 00:14:15,2025-04-10 00:14:15,15923,14,31847,15
2025-04-10 00:14:16,2025-04-10 00:14:16,16001,14,32003,15
2025-04-10 00:14:18,2025-04-10 00:14:18,16091,14,32183,15
2025-04-10 00:14:20,2025-04-10 00:14:21,16253,14,32507,15
2025-04-10 00:14:21,2025-04-10 00:14:21,16301,14,32603,15
2025-04-10 00:14:23,2025-04-10 00:14:23,16421,15,32843,16
2025-04-10 00:14:25,2025-04-10 00:14:25,16493,15,32987,16
2025-04-10 00:14:26,2025-04-10 00:14:26,16553,15,33107,16
2025-04-10 00:14:28,2025-04-10 00:14:29,16673,15,33347,16
2025-04-10 00:14:31,2025-04-10 00:14:31,16811,15,33623,16
2025-04-10 00:14:31,2025-04-10 00:14:32,16823,15,33647,16
2025-04-10 00:14:32,2025-04-10 00:14:33,16883,15,33767,16
2025-04-10 00:14:34,2025-04-10 00:14:34,16931,15,33863,16
2025-04-10 00:14:38,2025-04-10 00:14:38,17159,15,34319,16
2025-04-10 00:14:39,2025-04-10 00:14:39,17183,15,34367,16
2025-04-10 00:14:41,2025-04-10 00:14:41,17291,15,34583,16
2025-04-10 00:14:42,2025-04-10 00:14:42,17333,15,34667,16
2025-04-10 00:14:43,2025-04-10 00:14:43,17351,15,34703,16
2025-04-10 00:14:47,2025-04-10 00:14:48,17579,15,35159,16
2025-04-10 00:14:49,2025-04-10 00:14:50,17669,15,35339,16
2025-04-10 00:14:50,2025-04-10 00:14:50,17681,15,35363,16
2025-04-10 00:14:55,2025-04-10 00:14:55,17939,15,35879,16
2025-04-10 00:14:56,2025-04-10 00:14:56,17981,15,35963,16
2025-04-10 00:14:57,2025-04-10 00:14:57,18041,15,36083,16
2025-04-10 00:14:59,2025-04-10 00:15:00,18131,15,36263,16
2025-04-10 00:15:00,2025-04-10 00:15:01,18149,15,36299,16
2025-04-10 00:15:01,2025-04-10 00:15:01,18191,15,36383,16
2025-04-10 00:15:02,2025-04-10 00:15:03,18233,15,36467,16
2025-04-10 00:15:05,2025-04-10 00:15:05,18341,15,36683,16
2025-04-10 00:15:07,2025-04-10 00:15:07,18443,15,36887,16
2025-04-10 00:15:08,2025-04-10 00:15:08,18461,15,36923,16
2025-04-10 00:15:12,2025-04-10 00:15:12,18731,15,37463,16
2025-04-10 00:15:13,2025-04-10 00:15:13,18773,15,37547,16
2025-04-10 00:15:14,2025-04-10 00:15:14,18803,15,37607,16
2025-04-10 00:15:15,2025-04-10 00:15:15,18899,15,37799,16
2025-04-10 00:15:19,2025-04-10 00:15:20,19163,15,38327,16
2025-04-10 00:15:22,2025-04-10 00:15:23,19301,15,38603,16
2025-04-10 00:15:23,2025-04-10 00:15:23,19319,15,38639,16
2025-04-10 00:15:24,2025-04-10 00:15:24,19373,15,38747,16
2025-04-10 00:15:25,2025-04-10 00:15:25,19391,15,38783,16
2025-04-10 00:15:26,2025-04-10 00:15:27,19433,15,38867,16
2025-04-10 00:15:29,2025-04-10 00:15:30,19553,15,39107,16
2025-04-10 00:15:30,2025-04-10 00:15:30,19559,15,39119,16
2025-04-10 00:15:31,2025-04-10 00:15:32,19661,15,39323,16
2025-04-10 00:15:33,2025-04-10 00:15:33,19709,15,39419,16
2025-04-10 00:15:34,2025-04-10 00:15:34,19751,15,39503,16
2025-04-10 00:15:36,2025-04-10 00:15:37,19889,15,39779,16
2025-04-10 00:15:37,2025-04-10 00:15:37,19913,15,39827,16
2025-04-10 00:15:37,2025-04-10 00:15:38,19919,15,39839,16
2025-04-10 00:15:39,2025-04-10 00:15:40,19991,15,39983,16
2025-04-10 00:15:41,2025-04-10 00:15:42,20063,15,40127,16
2025-04-10 00:15:45,2025-04-10 00:15:46,20249,15,40499,16
2025-04-10 00:15:48,2025-04-10 00:15:49,20369,15,40739,16
2025-04-10 00:15:49,2025-04-10 00:15:49,20393,15,40787,16
2025-04-10 00:15:50,2025-04-10 00:15:50,20411,15,40823,16
2025-04-10 00:15:51,2025-04-10 00:15:51,20441,15,40883,16
2025-04-10 00:15:55,2025-04-10 00:15:55,20693,15,41387,16
2025-04-10 00:15:57,2025-04-10 00:15:57,20753,15,41507,16
2025-04-10 00:15:57,2025-04-10 00:15:58,20759,15,41519,16
2025-04-10 00:15:58,2025-04-10 00:15:58,20771,15,41543,16
2025-04-10 00:15:59,2025-04-10 00:15:59,20789,15,41579,16
2025-04-10 00:16:00,2025-04-10 00:16:01,20879,15,41759,16
2025-04-10 00:16:01,2025-04-10 00:16:02,20921,15,41843,16
2025-04-10 00:16:02,2025-04-10 00:16:03,20939,15,41879,16
2025-04-10 00:16:03,2025-04-10 00:16:04,20963,15,41927,16
2025-04-10 00:16:04,2025-04-10 00:16:05,21011,15,42023,16
2025-04-10 00:16:06,2025-04-10 00:16:07,21089,15,42179,16
2025-04-10 00:16:08,2025-04-10 00:16:08,21149,15,42299,16
2025-04-10 00:16:09,2025-04-10 00:16:10,21179,15,42359,16
2025-04-10 00:16:10,2025-04-10 00:16:11,21221,15,42443,16
2025-04-10 00:16:13,2025-04-10 00:16:13,21341,15,42683,16
2025-04-10 00:16:14,2025-04-10 00:16:14,21383,15,42767,16
2025-04-10 00:16:15,2025-04-10 00:16:16,21419,15,42839,16
2025-04-10 00:16:20,2025-04-10 00:16:20,21611,15,43223,16
2025-04-10 00:16:22,2025-04-10 00:16:22,21701,15,43403,16
2025-04-10 00:16:22,2025-04-10 00:16:23,21713,15,43427,16
2025-04-10 00:16:25,2025-04-10 00:16:25,21803,15,43607,16
2025-04-10 00:16:27,2025-04-10 00:16:28,21893,15,43787,16
2025-04-10 00:16:29,2025-04-10 00:16:30,22013,15,44027,16
2025-04-10 00:16:31,2025-04-10 00:16:32,22079,15,44159,16
2025-04-10 00:16:33,2025-04-10 00:16:34,22133,15,44267,16
2025-04-10 00:16:36,2025-04-10 00:16:36,22259,15,44519,16
2025-04-10 00:16:36,2025-04-10 00:16:37,22271,15,44543,16
2025-04-10 00:16:38,2025-04-10 00:16:39,22343,15,44687,16
2025-04-10 00:16:39,2025-04-10 00:16:40,22349,15,44699,16
2025-04-10 00:16:41,2025-04-10 00:16:41,22409,15,44819,16
2025-04-10 00:16:41,2025-04-10 00:16:42,22433,15,44867,16
2025-04-10 00:16:42,2025-04-10 00:16:43,22469,15,44939,16
2025-04-10 00:16:43,2025-04-10 00:16:44,22481,15,44963,16
2025-04-10 00:16:44,2025-04-10 00:16:45,22541,15,45083,16
2025-04-10 00:16:49,2025-04-10 00:16:50,22751,15,45503,16
2025-04-10 00:16:51,2025-04-10 00:16:52,22853,15,45707,16
2025-04-10 00:16:53,2025-04-10 00:16:54,22943,15,45887,16
2025-04-10 00:16:58,2025-04-10 00:16:59,23099,15,46199,16
2025-04-10 00:17:01,2025-04-10 00:17:02,23279,15,46559,16
2025-04-10 00:17:03,2025-04-10 00:17:03,23321,15,46643,16
2025-04-10 00:17:04,2025-04-10 00:17:04,23339,15,46679,16
2025-04-10 00:17:06,2025-04-10 00:17:06,23459,15,46919,16
2025-04-10 00:17:08,2025-04-10 00:17:08,23561,15,47123,16
2025-04-10 00:17:09,2025-04-10 00:17:10,23603,15,47207,16
2025-04-10 00:17:11,2025-04-10 00:17:12,23669,15,47339,16
2025-04-10 00:17:13,2025-04-10 00:17:14,23753,15,47507,16
2025-04-10 00:17:15,2025-04-10 00:17:16,23819,15,47639,16
2025-04-10 00:17:18,2025-04-10 00:17:18,23909,15,47819,16
2025-04-10 00:17:19,2025-04-10 00:17:20,23981,15,47963,16
2025-04-10 00:17:25,2025-04-10 00:17:26,24203,15,48407,16
2025-04-10 00:17:26,2025-04-10 00:17:27,24239,15,48479,16
2025-04-10 00:17:27,2025-04-10 00:17:28,24281,15,48563,16
2025-04-10 00:17:31,2025-04-10 00:17:31,24473,15,48947,16
2025-04-10 00:17:32,2025-04-10 00:17:32,24509,15,49019,16
2025-04-10 00:17:33,2025-04-10 00:17:34,24551,15,49103,16
